DA,Source,Target,Indexed,Source_url,Target_url
38,Products – Mosi Tea  ysv3j8.execute-api.us-west-2.amazonaws.com%2Fprod%2Fstores%2Fe8a44b80 -7073-498e-8663-b5a1a14c0fe5%2Fproducts%2Fshopify-7212127715503%2Fre views%3Flimit%3D5%26orderBy%3Dhas_media%2520desc%26lastEvaluated%3 D%257B%2522subscriberId_collectionId%2522%253A%2522e8a44b80-7073-49 8e-8663-b5a1a14c0fe5%253Aa4329383-4a55-4315-bd7e-6a0e69d65f24%2522 %252C%2522reviewId%2522%253A%25220cce4953-8b43-4188-94f5-07212376 bb57%2522%252C%2522_hasMedia_dateCreated%2522%253A%2522false%25 3A2024-03-21T03%253A59%253A20.796Z%2522%257D&okeReviewsPageNum =2,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/all?okeReviewsNextUrl=https%3A%2F%2F5i27"", ""https://mositea.com/collections/all?okeReviewsNextUrl=https%3A%2F%2F5i27"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Collections – Mosi Tea  7073-498e-8663-b5a1a14c0fe5%2Fproducts%2Fshopify-6573466812591%2Frev iews%3Flimit%3D5%26orderBy%3Dhas_media%2520desc%26lastEvaluated%3 D%257B%2522subscriberId%2522%253A%2522e8a44b80-7073-498e-8663-b5a 1a14c0fe5%2522%252C%2522subscriberId_productId%2522%253A%2522e8a4 4b80-7073-498e-8663-b5a1a14c0fe5%253Ashopify-6573466812591%2522%252 C%2522reviewId%2522%253A%2522df395004-c23b-47f1-a955-2aa17e59702e% 2522%252C%2522_hasMedia_dateCreated%2522%253A%2522true%253A2024- 03-27T19%253A51%253A09.297Z%2522%257D&okeReviewsPageNum=2,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/?okeReviewsNextUrl=%2Fstores%2Fe8a44b80-"", ""https://mositea.com/collections/?okeReviewsNextUrl=%2Fstores%2Fe8a44b80-"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Iced Orange Spice Fruit Punch - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/iced-orange-spice-fruit-punch"", ""https://mositea.com/blogs/recipes/iced-orange-spice-fruit-punch"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,"Mosi Tea – Herbal Tea Bundle with Premium, Garden-Picked Tea",Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/all-loose-leaf-teas/products/herbal-tea-bundle"", ""https://mositea.com/collections/all-loose-leaf-teas/products/herbal-tea-bundle"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Harvest Citrus Spice Tea Splash - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/harvest-citrus-spice-tea-splash"", ""https://mositea.com/blogs/recipes/harvest-citrus-spice-tea-splash"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Minty Fresh Green Dream - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/minty-fresh-green-dream"", ""https://mositea.com/blogs/recipes/minty-fresh-green-dream"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Earl Grey Frosty Citrus Bliss - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/earl-grey-frosty-citrus-bliss"", ""https://mositea.com/blogs/recipes/earl-grey-frosty-citrus-bliss"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Iced Blueberry and Rose Black Tea Latte - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/iced-blueberry-and-rose-black-tea-latte"", ""https://mositea.com/blogs/recipes/iced-blueberry-and-rose-black-tea-latte"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Morning Black Harvest Spice Latte - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/morning-black-harvest-spice-latte"", ""https://mositea.com/blogs/recipes/morning-black-harvest-spice-latte"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,The Best Way to Steep Tea: Tea Infusers 101 – Mosi Tea  01,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/tea-basics/the-best-way-to-steep-tea-tea-infusers-1"", ""https://mositea.com/blogs/tea-basics/the-best-way-to-steep-tea-tea-infusers-1"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
